dataset,estimator,shift_type,cost_type,n_samples,method,parameter,prune_level,merge_level,validity (before),validity (after),cost,plausibility,sparsity,time,time per samples
FICO,XGBoost,split,tlps,100,Baseline,0.0,1.0,1,0.99,0.29,1.4109279447017946,0.4444208135711156,1.7676767676767675,0.7858469486236572,0.007858469486236572
FICO,XGBoost,split,tlps,100,Baseline,0.0,1.0,2,1.0,0.26,1.3420459920357748,0.4500281409373008,1.8900000000000006,7.900816917419434,0.07900816917419434
FICO,XGBoost,split,tlps,100,Baseline,0.0,0.5,1,0.99,0.32,1.5074977591851866,0.44261476284471446,1.727272727272727,0.4142768383026123,0.004142768383026123
FICO,XGBoost,split,tlps,100,Baseline,0.0,0.5,2,1.0,0.31,1.4743236756313016,0.45249623451222865,1.8600000000000003,4.477821350097656,0.04477821350097656
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,1.0,1,0.96,0.39,3.5482738562140397,0.4488691318218665,2.5833333333333335,0.7537248134613037,0.007537248134613037
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,1.0,1,0.83,0.43,5.371119480454002,0.4485346288881274,2.8674698795180724,0.7537248134613037,0.007537248134613037
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,1.0,1,0.7,0.41,6.001647918034341,0.45037229010649366,3.0714285714285716,0.7537248134613037,0.007537248134613037
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,1.0,1,0.55,0.43,9.135910321389773,0.45800990632613053,3.1272727272727274,0.7537248134613037,0.007537248134613037
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,1.0,1,0.31,0.32,11.014399577950309,0.45703363837425925,3.2258064516129026,0.7537248134613037,0.007537248134613037
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,1.0,2,1.0,0.36,3.1321599635176978,0.4486032147757997,2.78,7.628262996673584,0.07628262996673583
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,1.0,2,1.0,0.48,4.1165391255902435,0.4507099171875631,3.1799999999999997,7.628262996673584,0.07628262996673583
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,1.0,2,0.99,0.49,4.792646021188919,0.45111395648783426,3.5959595959595956,7.628262996673584,0.07628262996673583
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,1.0,2,0.99,0.56,7.434522450705654,0.4555040051106631,4.090909090909091,7.628262996673584,0.07628262996673583
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,1.0,2,0.93,0.66,9.747128059978824,0.4578928962404017,4.451612903225806,7.628262996673584,0.07628262996673583
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,0.5,1,0.92,0.37,3.737822087907341,0.4567062351592773,2.467391304347826,0.4085502624511719,0.004085502624511719
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,0.5,1,0.8,0.43,5.604401952005465,0.4548507354272789,2.8125000000000004,0.4085502624511719,0.004085502624511719
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,0.5,1,0.63,0.39,6.70667810830903,0.45745797352829637,3.0,0.4085502624511719,0.004085502624511719
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,0.5,1,0.44,0.37,8.93354260646146,0.4591254776129711,3.159090909090909,0.4085502624511719,0.004085502624511719
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,0.5,1,0.25,0.28,10.054115812069659,0.45785549117957786,3.3200000000000003,0.4085502624511719,0.004085502624511719
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,0.5,2,1.0,0.37,3.429269276196468,0.4437617863883219,2.8899999999999997,4.456545114517212,0.044565451145172116
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,0.5,2,1.0,0.43,4.426343158703717,0.4423396708956491,3.4399999999999995,4.456545114517212,0.044565451145172116
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,0.5,2,0.99,0.46,5.463953071233263,0.444650652486283,3.909090909090909,4.456545114517212,0.044565451145172116
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,0.5,2,0.99,0.57,7.612053088804406,0.446118413700288,4.474747474747474,4.456545114517212,0.044565451145172116
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,0.5,2,0.95,0.66,10.730631084708092,0.45659782346975547,4.526315789473685,4.456545114517212,0.044565451145172116
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,1.0,1,0.96,0.41,3.473927357831599,0.43875148142708514,2.468749999999999,0.9288949966430664,0.009288949966430664
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,1.0,1,0.87,0.49,5.336617509377426,0.4376764390715666,2.8850574712643673,0.9288949966430664,0.009288949966430664
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,1.0,1,0.7,0.46,5.834760972430112,0.433137668179548,3.0857142857142854,0.9288949966430664,0.009288949966430664
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,1.0,1,0.55,0.36,6.553716001854973,0.4359947083432617,3.109090909090909,0.9288949966430664,0.009288949966430664
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,1.0,1,0.43,0.38,9.70489629258549,0.43401070960536353,3.302325581395349,0.9288949966430664,0.009288949966430664
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,1.0,2,1.0,0.35,3.048260268116905,0.45172453912543814,2.7099999999999995,9.989887952804565,0.09989887952804566
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,1.0,2,0.99,0.5,3.669154682622381,0.4512599943517334,3.070707070707071,9.989887952804565,0.09989887952804566
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,1.0,2,0.99,0.52,5.2680248502551725,0.4521441923204924,3.5454545454545445,9.989887952804565,0.09989887952804566
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,1.0,2,0.99,0.57,6.5061730101127875,0.4523005662691243,3.9292929292929286,9.989887952804565,0.09989887952804566
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,1.0,2,0.98,0.6,8.938689336153391,0.45105768661140483,4.326530612244897,9.989887952804565,0.09989887952804566
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,0.5,1,0.93,0.41,3.450018852495027,0.43602246384557575,2.462365591397849,0.5631678104400635,0.005631678104400635
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,0.5,1,0.8,0.43,5.701695563212202,0.4351874890595573,2.8125,0.5631678104400635,0.005631678104400635
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,0.5,1,0.6,0.43,6.120832171094674,0.4335660179183985,2.9166666666666665,0.5631678104400635,0.005631678104400635
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,0.5,1,0.48,0.32,7.065185064401473,0.43076791932351455,2.979166666666667,0.5631678104400635,0.005631678104400635
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,0.5,1,0.34,0.31,9.441197473260926,0.42576322485892043,3.4411764705882346,0.5631678104400635,0.005631678104400635
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,0.5,2,1.0,0.41,3.305544926485501,0.44271019908020987,2.75,6.063998222351074,0.06063998222351074
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,0.5,2,1.0,0.45,4.512225137377757,0.4403135378282339,3.34,6.063998222351074,0.06063998222351074
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,0.5,2,0.99,0.46,5.324999608767351,0.4391960544256249,3.8686868686868685,6.063998222351074,0.06063998222351074
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,0.5,2,0.98,0.5,7.044926270941263,0.43913738020983106,4.1938775510204085,6.063998222351074,0.06063998222351074
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,0.5,2,0.95,0.59,9.462509579103816,0.4387305335560472,4.505263157894737,6.063998222351074,0.06063998222351074
FICO,XGBoost,split,tlps,100,Baseline,0.0,1.0,1,1.0,0.26,1.4937563077101332,0.451561130069522,1.58,0.7160458564758301,0.007160458564758301
FICO,XGBoost,split,tlps,100,Baseline,0.0,1.0,2,1.0,0.24,1.2801902413949613,0.46046210235709606,1.71,6.74074912071228,0.0674074912071228
FICO,XGBoost,split,tlps,100,Baseline,0.0,0.5,1,1.0,0.26,1.642107074520856,0.4567452565609114,1.6,0.412294864654541,0.0041229486465454105
FICO,XGBoost,split,tlps,100,Baseline,0.0,0.5,2,1.0,0.27,1.3510185492527065,0.4461355474804429,1.6600000000000001,4.3308188915252686,0.043308188915252684
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,1.0,1,0.96,0.46,5.154221141486158,0.45648835614875766,2.354166666666667,0.7303900718688965,0.0073039007186889646
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,1.0,1,0.91,0.52,7.089180081850515,0.45908687802299786,2.6483516483516487,0.7303900718688965,0.0073039007186889646
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,1.0,1,0.79,0.55,9.20225448505899,0.4618943807721169,2.936708860759494,0.7303900718688965,0.0073039007186889646
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,1.0,1,0.63,0.55,9.92361388952736,0.4591290111689765,2.9999999999999996,0.7303900718688965,0.0073039007186889646
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,1.0,1,0.48,0.45,12.829102034937245,0.4609300380679768,3.3750000000000004,0.7303900718688965,0.0073039007186889646
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,1.0,2,1.0,0.46,3.303773681091126,0.4549644846493497,2.6,6.535106182098389,0.06535106182098388
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,1.0,2,1.0,0.42,4.308242766715039,0.45866749266373186,2.96,6.535106182098389,0.06535106182098388
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,1.0,2,0.99,0.5,5.55259131206765,0.46080446155446286,3.4343434343434343,6.535106182098389,0.06535106182098388
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,1.0,2,0.99,0.63,7.654698474058841,0.4649686547815128,3.7878787878787876,6.535106182098389,0.06535106182098388
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,1.0,2,0.94,0.64,13.106824298525849,0.4711718739409892,4.1063829787234045,6.535106182098389,0.06535106182098388
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,0.5,1,0.96,0.46,5.346603187558781,0.4580615158385064,2.3437499999999996,0.4411509037017822,0.004411509037017822
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,0.5,1,0.9,0.5,7.517533835390903,0.4584019194439506,2.722222222222222,0.4411509037017822,0.004411509037017822
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,0.5,1,0.79,0.56,9.377957778974507,0.46176073610794843,2.9240506329113924,0.4411509037017822,0.004411509037017822
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,0.5,1,0.63,0.55,10.15038133683738,0.46025657375106444,3.047619047619048,0.4411509037017822,0.004411509037017822
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,0.5,1,0.48,0.45,12.84591307288774,0.4620818428350253,3.3958333333333335,0.4411509037017822,0.004411509037017822
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,0.5,2,1.0,0.44,3.276166150218466,0.45324596038857756,2.63,4.395039796829224,0.04395039796829223
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,0.5,2,1.0,0.53,4.450029616548386,0.4538570594272938,3.1199999999999997,4.395039796829224,0.04395039796829223
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,0.5,2,1.0,0.54,5.716791249151929,0.45486082396002353,3.5700000000000003,4.395039796829224,0.04395039796829223
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,0.5,2,1.0,0.63,7.6493396154326545,0.45556365804620713,4.0200000000000005,4.395039796829224,0.04395039796829223
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,0.5,2,0.95,0.71,10.597342003319786,0.4558988808667445,4.421052631578946,4.395039796829224,0.04395039796829223
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,1.0,1,0.95,0.43,4.574912294484959,0.44788063230865716,2.2421052631578946,0.9979598522186279,0.00997959852218628
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,1.0,1,0.88,0.49,6.931055906343375,0.4487077044162012,2.6250000000000004,0.9979598522186279,0.00997959852218628
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,1.0,1,0.79,0.55,8.75343798476972,0.4455436392879702,2.8987341772151898,0.9979598522186279,0.00997959852218628
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,1.0,1,0.62,0.53,7.782057071197306,0.4471735875182311,2.838709677419355,0.9979598522186279,0.00997959852218628
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,1.0,1,0.53,0.45,10.292890411198883,0.44636155922258575,3.094339622641509,0.9979598522186279,0.00997959852218628
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,1.0,2,1.0,0.45,3.1277242435128465,0.45589391483072084,2.5799999999999996,8.756083965301514,0.08756083965301514
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,1.0,2,0.99,0.42,4.389570884399479,0.45874337699876044,3.02020202020202,8.756083965301514,0.08756083965301514
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,1.0,2,0.99,0.49,6.162815359425225,0.4610980059888122,3.3131313131313127,8.756083965301514,0.08756083965301514
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,1.0,2,0.97,0.54,7.565855703829889,0.45970175123789797,3.721649484536082,8.756083965301514,0.08756083965301514
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,1.0,2,0.95,0.68,9.163948972322261,0.4621078095057885,3.9894736842105267,8.756083965301514,0.08756083965301514
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,0.5,1,0.95,0.41,4.769915252983709,0.450987465214408,2.1789473684210527,0.6144490242004395,0.006144490242004395
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,0.5,1,0.87,0.49,7.090641679062456,0.4509195284436381,2.6781609195402307,0.6144490242004395,0.006144490242004395
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,0.5,1,0.78,0.58,9.058023307143852,0.44991131709753124,2.9871794871794872,0.6144490242004395,0.006144490242004395
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,0.5,1,0.62,0.53,8.214213407500232,0.44918535499442735,2.967741935483871,0.6144490242004395,0.006144490242004395
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,0.5,1,0.52,0.46,11.36483581351982,0.4462509392547209,3.192307692307693,0.6144490242004395,0.006144490242004395
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,0.5,2,1.0,0.44,3.234068627749396,0.46292519701786056,2.6399999999999997,6.037413120269775,0.06037413120269775
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,0.5,2,1.0,0.52,4.6520017559410265,0.46456153124812566,3.02,6.037413120269775,0.06037413120269775
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,0.5,2,1.0,0.52,5.904497554534653,0.4659140673105385,3.479999999999999,6.037413120269775,0.06037413120269775
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,0.5,2,0.97,0.6,7.3646740738207,0.4648910954894487,3.896907216494845,6.037413120269775,0.06037413120269775
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,0.5,2,0.96,0.68,9.37883480349993,0.46588611647201744,4.187500000000001,6.037413120269775,0.06037413120269775
FICO,XGBoost,split,tlps,100,Baseline,0.0,1.0,1,1.0,0.21,1.9348677311494569,0.455819184430202,1.8200000000000003,0.7491922378540039,0.007491922378540039
FICO,XGBoost,split,tlps,100,Baseline,0.0,1.0,2,1.0,0.23,1.5969682327571975,0.4617464214182104,1.9800000000000002,7.739708185195923,0.07739708185195923
FICO,XGBoost,split,tlps,100,Baseline,0.0,0.5,1,1.0,0.19,2.277775055743548,0.46134179399665043,1.83,0.41560888290405273,0.004156088829040528
FICO,XGBoost,split,tlps,100,Baseline,0.0,0.5,2,1.0,0.18,1.9018755035605284,0.4582647483097174,2.0100000000000002,4.6239588260650635,0.04623958826065064
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,1.0,1,0.94,0.42,4.8405077401254335,0.45800443184814094,2.6914893617021276,0.7666361331939697,0.007666361331939697
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,1.0,1,0.81,0.4,6.284133217100315,0.4610506668151216,2.7654320987654324,0.7666361331939697,0.007666361331939697
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,1.0,1,0.64,0.3,7.14079355401409,0.46341572067946357,2.8125,0.7666361331939697,0.007666361331939697
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,1.0,1,0.4,0.26,6.081703029169202,0.46578458557036473,3.099999999999999,0.7666361331939697,0.007666361331939697
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,1.0,1,0.31,0.26,7.131096920598123,0.46836239310970557,3.193548387096774,0.7666361331939697,0.007666361331939697
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,1.0,2,1.0,0.33,3.6749756988323306,0.45453439288730463,2.94,7.698733806610107,0.07698733806610107
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,1.0,2,1.0,0.44,4.779650029308013,0.4555485054378661,3.36,7.698733806610107,0.07698733806610107
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,1.0,2,1.0,0.53,6.547214710345426,0.4583075364030204,3.7399999999999993,7.698733806610107,0.07698733806610107
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,1.0,2,0.99,0.58,8.093072993057707,0.46225373275489784,4.171717171717172,7.698733806610107,0.07698733806610107
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,1.0,2,0.96,0.64,10.057443978954316,0.4629416313742021,4.552083333333334,7.698733806610107,0.07698733806610107
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,0.5,1,0.92,0.43,5.622481023445326,0.45715109222721745,2.706521739130435,0.4232900142669678,0.004232900142669678
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,0.5,1,0.76,0.41,8.001335757963428,0.45876853582713784,2.8289473684210527,0.4232900142669678,0.004232900142669678
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,0.5,1,0.54,0.29,7.1390986862193255,0.45703515352776625,2.888888888888889,0.4232900142669678,0.004232900142669678
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,0.5,1,0.35,0.26,6.57024413447337,0.45758611827317686,3.257142857142857,0.4232900142669678,0.004232900142669678
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,0.5,1,0.28,0.27,7.34744573775815,0.45896676884180715,3.285714285714285,0.4232900142669678,0.004232900142669678
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,0.5,2,1.0,0.4,4.30422411885771,0.45773163920166765,3.0699999999999994,4.713306188583374,0.047133061885833744
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,0.5,2,0.99,0.39,5.352765683371206,0.45812538177871237,3.3535353535353543,4.713306188583374,0.047133061885833744
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,0.5,2,0.99,0.5,6.713266244598396,0.45975291210286634,3.6969696969696972,4.713306188583374,0.047133061885833744
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,0.5,2,0.96,0.49,7.9368341432349085,0.4608997656999318,4.010416666666667,4.713306188583374,0.047133061885833744
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,0.5,2,0.96,0.7,10.404656015015936,0.46304657993296944,4.666666666666667,4.713306188583374,0.047133061885833744
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,1.0,1,0.95,0.37,4.928465175599723,0.4557401033788073,2.6631578947368424,0.9518818855285645,0.009518818855285644
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,1.0,1,0.8,0.37,6.227916939141809,0.4555695681041415,2.7625,0.9518818855285645,0.009518818855285644
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,1.0,1,0.61,0.24,7.576403976337099,0.45204875192121835,2.934426229508196,0.9518818855285645,0.009518818855285644
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,1.0,1,0.51,0.28,7.294812338642182,0.45151805314667476,2.9803921568627447,0.9518818855285645,0.009518818855285644
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,1.0,1,0.36,0.23,6.770950712461576,0.4531613041518625,3.1666666666666665,0.9518818855285645,0.009518818855285644
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,1.0,2,1.0,0.31,3.575641235623365,0.4577618484537158,2.849999999999999,9.979004859924316,0.09979004859924316
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,1.0,2,1.0,0.45,5.048051598359874,0.45783835544932133,3.33,9.979004859924316,0.09979004859924316
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,1.0,2,0.99,0.46,6.418738294623589,0.4600547573830458,3.858585858585858,9.979004859924316,0.09979004859924316
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,1.0,2,0.97,0.57,7.503235041856353,0.45856857575451243,4.103092783505154,9.979004859924316,0.09979004859924316
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,1.0,2,0.95,0.53,9.22216097568481,0.45862708337833513,4.51578947368421,9.979004859924316,0.09979004859924316
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,0.5,1,0.92,0.39,5.497511259483757,0.45607359413160964,2.728260869565217,0.5560169219970703,0.005560169219970703
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,0.5,1,0.76,0.36,7.099253183650075,0.4545755853479863,2.7631578947368425,0.5560169219970703,0.005560169219970703
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,0.5,1,0.57,0.29,7.78064187373683,0.4513816606383248,2.9824561403508767,0.5560169219970703,0.005560169219970703
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,0.5,1,0.42,0.28,7.3175978480655655,0.449894328147206,2.9761904761904754,0.5560169219970703,0.005560169219970703
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,0.5,1,0.3,0.22,7.0151702214258576,0.44815890045198997,3.1,0.5560169219970703,0.005560169219970703
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,0.5,2,1.0,0.33,4.140505023269643,0.453758729774728,2.9599999999999995,6.073765993118286,0.06073765993118286
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,0.5,2,0.99,0.42,5.396167608648036,0.45640784750885227,3.313131313131313,6.073765993118286,0.06073765993118286
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,0.5,2,0.98,0.52,6.59477534981969,0.45411335003938336,3.5918367346938775,6.073765993118286,0.06073765993118286
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,0.5,2,0.96,0.49,7.504262390840883,0.453974210268502,4.03125,6.073765993118286,0.06073765993118286
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,0.5,2,0.94,0.56,8.746806441005154,0.45402953624109343,4.308510638297873,6.073765993118286,0.06073765993118286
FICO,XGBoost,split,tlps,100,Baseline,0.0,1.0,1,1.0,0.25,1.6929399439533699,0.4568888945794899,1.6800000000000002,0.7720160484313965,0.007720160484313965
FICO,XGBoost,split,tlps,100,Baseline,0.0,1.0,2,1.0,0.22,1.4170949859610533,0.45049772715510067,1.7200000000000004,7.9295690059661865,0.07929569005966186
FICO,XGBoost,split,tlps,100,Baseline,0.0,0.5,1,1.0,0.26,1.9707355135323759,0.45254047488086085,1.6400000000000001,0.43091511726379395,0.004309151172637939
FICO,XGBoost,split,tlps,100,Baseline,0.0,0.5,2,1.0,0.24,1.4839548889391827,0.4541607627383547,1.7800000000000002,4.922353744506836,0.04922353744506836
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,1.0,1,0.97,0.33,4.089650198339497,0.45873896047913054,2.3298969072164946,0.7958831787109375,0.007958831787109375
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,1.0,1,0.9,0.44,5.0407142050571965,0.4560540554787363,2.7777777777777772,0.7958831787109375,0.007958831787109375
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,1.0,1,0.81,0.42,6.110187740239945,0.45877664834243015,2.9999999999999996,0.7958831787109375,0.007958831787109375
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,1.0,1,0.6,0.42,7.244129913288774,0.4626108407719011,3.0500000000000007,0.7958831787109375,0.007958831787109375
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,1.0,1,0.4,0.31,7.510648712737603,0.4608077209195029,3.0500000000000007,0.7958831787109375,0.007958831787109375
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,1.0,2,1.0,0.3,3.105714189237234,0.4688658190973636,2.5599999999999996,7.8710761070251465,0.07871076107025146
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,1.0,2,1.0,0.44,4.054830483625349,0.46841519645659047,3.14,7.8710761070251465,0.07871076107025146
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,1.0,2,0.99,0.47,4.921771245398863,0.4696821665119269,3.3333333333333335,7.8710761070251465,0.07871076107025146
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,1.0,2,0.97,0.52,6.340190183163644,0.47261150005199315,3.8041237113402064,7.8710761070251465,0.07871076107025146
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,1.0,2,0.96,0.57,8.249994795191538,0.4736917621562979,4.177083333333333,7.8710761070251465,0.07871076107025146
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,0.5,1,0.93,0.35,4.192608932955606,0.4555631498809092,2.376344086021505,0.44594812393188477,0.004459481239318847
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,0.5,1,0.88,0.46,5.042233792466404,0.45457730814650965,2.727272727272727,0.44594812393188477,0.004459481239318847
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,0.5,1,0.78,0.43,6.322807464404354,0.45713241331177473,2.8589743589743595,0.44594812393188477,0.004459481239318847
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,0.5,1,0.56,0.42,7.011033536494144,0.45906069175735864,3.1250000000000004,0.44594812393188477,0.004459481239318847
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,0.5,1,0.33,0.31,7.9172340556667455,0.45709230563521147,3.393939393939393,0.44594812393188477,0.004459481239318847
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,0.5,2,1.0,0.28,3.3120445859864756,0.4515221255335971,2.7199999999999998,4.941391229629517,0.049413912296295166
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,0.5,2,1.0,0.39,4.311782646894764,0.4523842479246431,3.12,4.941391229629517,0.049413912296295166
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,0.5,2,1.0,0.45,5.541232051526451,0.4517264251770127,3.3699999999999997,4.941391229629517,0.049413912296295166
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,0.5,2,0.98,0.51,6.880023067084844,0.45252574173635435,3.7959183673469385,4.941391229629517,0.049413912296295166
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,0.5,2,0.95,0.55,8.614221384216595,0.45351704785951535,4.157894736842105,4.941391229629517,0.049413912296295166
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,1.0,1,0.94,0.31,3.6770947143278083,0.45005557254874917,2.340425531914894,0.9825160503387451,0.009825160503387451
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,1.0,1,0.87,0.42,4.818549405569035,0.4477571963244671,2.908045977011494,0.9825160503387451,0.009825160503387451
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,1.0,1,0.71,0.39,6.354070318630336,0.4493976991065757,2.9014084507042246,0.9825160503387451,0.009825160503387451
