dataset,estimator,shift_type,cost_type,n_samples,method,parameter,validity (before),validity (after),cost,plausibility,sparsity,time,time per samples
FICO,XGBoost,split,tlps,1102,DiRARTE-X,0.02,1.0,0.32849364791288566,2.8764925048070413,0.45432832413881924,2.6787658802177856,126.74282383918762,0.11501163687766572
FICO,XGBoost,split,tlps,1102,DiRARTE-X,0.04,1.0,0.4147005444646098,3.9573085203310505,0.4539767579039815,3.1206896551724137,126.74282383918762,0.11501163687766572
FICO,XGBoost,split,tlps,1102,DiRARTE-X,0.06,0.9945553539019963,0.4627949183303085,5.0061417120380485,0.45453016819051806,3.453467153284671,126.74282383918762,0.11501163687766572
FICO,XGBoost,split,tlps,1102,DiRARTE-X,0.08,0.9836660617059891,0.5235934664246824,6.169682727446932,0.454045367580726,3.773062730627306,126.74282383918762,0.11501163687766572
FICO,XGBoost,split,tlps,1102,DiRARTE-X,0.1,0.957350272232305,0.5644283121597096,6.99537178013172,0.4534694778625953,4.049289099526066,126.74282383918762,0.11501163687766572
FICO,XGBoost,split,tlps,1026,Baseline,0.0,1.0,0.26608187134502925,1.4039368924274802,0.45960541148014317,1.8528265107212474,72.85790610313416,0.07101160438901964
FICO,XGBoost,split,tlps,1026,RobX,0.5,1.0,0.4346978557504873,7.847021373062434,0.44609870763157855,15.254385964912284,370.2312707901001,0.36084919180321645
FICO,XGBoost,split,tlps,1026,RobX,0.55,1.0,0.4580896686159844,9.011137300051356,0.4447131894610051,15.233918128654969,370.2312707901001,0.36084919180321645
FICO,XGBoost,split,tlps,1026,RobX,0.6,1.0,0.50682261208577,10.086455129994892,0.44337799049433685,15.340155945419104,370.2312707901001,0.36084919180321645
FICO,XGBoost,split,tlps,1026,RobX,0.65,1.0,0.5623781676413255,11.324653422008312,0.4429962979102117,15.31578947368421,370.2312707901001,0.36084919180321645
FICO,XGBoost,split,tlps,1026,RobX,0.7,1.0,0.6208576998050682,12.700579124697477,0.4420529763732494,15.405458089668617,370.2312707901001,0.36084919180321645
